,Water ,SaltWater,PondWater ,Tea 
Day1,0.2,0,0.3,0.35
Day2,0.6,0.2,0.6,0.5
Day3,1.3,0.9,1.6,1.7
Day4,2,1.5,2.8,2.7
Day5,2.8,2.1,3.2,3.6
Day6,3.2,2.8,3.9,4.1
Day7,4.1,3.4,4.5,4.6
Day8,4.7,3.9,5.2,5.1
Day9,5.2,4.3,5.8,5.9
Day10,5.4,4.6,6.5,6.3
Day11,6.3,5.4,7.1,6.8
Day12,7,6.2,7.9,7.4
